fit	g1	tau_exp	Size Distribution	Amplitude Size Dist (au)
0.2092	0.07201240135282205	0.007207926341072857	None	None
0.2086	0.1097175247400628	0.007239961569255404	None	None
0.208	0.19803018915172288	0.007271996797437949	None	None
0.2074	0.311004634848814	0.0073040320256204955	None	None
0.2068	0.3310472253538137	0.007336067253803042	None	None
0.2062	0.23874170111457715	0.007368102481985587	None	None
0.2056	0.15320055117126685	0.007400137710168134	None	None
0.2051	0.10044782663135265	0.00743217293835068	None	None
0.2045	0.07912125767234102	0.0074642081665332255	None	None
0.2039	0.09282224727530775	0.007496243394715772	None	None
0.2033	0.16065388951528803	0.007528278622898318	None	None
0.2028	0.2743955906298652	0.007560313851080864	None	None
0.2022	0.3481460603779851	0.00759234907926341	None	None
0.2016	0.2938588250030989	0.0076243843074459555	None	None
0.201	0.20075472879852896	0.007656419535628502	None	None
0.2005	0.13297006138009237	0.007688454763811048	None	None
0.1999	0.09405925090823075	0.007720489991993594	None	None
0.1993	0.09016034072374168	0.00775252522017614	None	None
0.1988	0.13556933483641842	0.007784560448358686	None	None
0.1982	0.23459225854912802	0.007816595676541232	None	None
0.1977	0.33825003131642006	0.007848630904723777	None	None
0.1971	0.34465426531369303	0.007880666132906325	None	None
0.1966	0.2597237880495413	0.00791270136108887	None	None
0.196	0.18008580734067436	0.007944736589271416	None	None
0.1955	0.12359075535505326	0.007976771817453963	None	None
0.1949	0.10083928347739857	0.008008807045636508	None	None
0.1944	0.12338719779518215	0.008040842273819054	None	None
0.1938	0.19746649129365323	0.008072877502001601	None	None
0.1933	0.3031598396592017	0.008104912730184146	None	None
0.1927	0.36566766879604984	0.008136947958366692	None	None
0.1922	0.3148565702117594	0.008168983186549239	None	None
0.1917	0.22563572591752745	0.008201018414731785	None	None
0.1911	0.1525898784916535	0.00823305364291433	None	None
0.1906	0.11020293122874136	0.008265088871096877	None	None
0.1901	0.11400789176968829	0.008297124099279423	None	None
0.1895	0.16669798321436247	0.008329159327461968	None	None
0.189	0.25814230239257085	0.008361194555644515	None	None
0.1885	0.3540492296128832	0.00839322978382706	None	None
0.1879	0.35988976575208653	0.008425265012009606	None	None
0.1874	0.27812225980187577	0.008457300240192154	None	None
0.1869	0.194413127896496	0.008489335468374699	None	None
0.1864	0.1332205937615072	0.008521370696557245	None	None
0.1859	0.11739007891765141	0.008553405924739792	None	None
0.1853	0.14905110860581772	0.008585441152922337	None	None
0.1848	0.2193880746585819	0.008617476381104883	None	None
0.1843	0.3203526243264605	0.008649511609287428	None	None
0.1838	0.38329888513089827	0.008681546837469975	None	None
0.1833	0.331704872854516	0.00871358206565252	None	None
0.1828	0.23928974069895048	0.008745617293835066	None	None
0.1823	0.1650225479143046	0.008777652522017614	None	None
0.1818	0.1305743454840922	0.008809687750200159	None	None
0.1813	0.14148816234501282	0.008841722978382704	None	None
0.1807	0.19084304146281283	0.008873758206565252	None	None
0.1802	0.27885819867196915	0.008905793434747797	None	None
0.1797	0.37816297131394094	0.008937828662930343	None	None
0.1792	0.38126330953264187	0.00896986389111289	None	None
0.1788	0.29114994362998914	0.009001899119295435	None	None
0.1783	0.20477890517349806	0.00903393434747798	None	None
0.1778	0.1550795440307411	0.009065969575660528	None	None
0.1773	0.14643617687579535	0.009098004803843074	None	None
0.1768	0.17282036828237324	0.009130040032025619	None	None
0.1763	0.2396029061756053	0.009162075260208166	None	None
0.1758	0.34679944882873315	0.009194110488390712	None	None
0.1753	0.406817612426039	0.009226145716573257	None	None
0.1748	0.34412188400347077	0.009258180944755804	None	None
0.1743	0.24888826255801177	0.00929021617293835	None	None
0.1739	0.18212138293847602	0.009322251401120895	None	None
0.1734	0.15752223474873972	0.009354286629303443	None	None
0.1729	0.16495991481906458	0.009386321857485988	None	None
0.1724	0.20861518226229236	0.009418357085668533	None	None
0.172	0.3060722785917278	0.009450392313851079	None	None
0.1715	0.40808593260680937	0.009482427542033626	None	None
0.171	0.39534009770750345	0.009514462770216172	None	None
0.1705	0.30184454465734234	0.009546497998398717	None	None
0.1701	0.22483715395219406	0.009578533226581264	None	None
0.1696	0.18332707002355164	0.00961056845476381	None	None
0.1691	0.17137980709003386	0.009642603682946355	None	None
0.1687	0.1935519228359226	0.009674638911128903	None	None
0.1682	0.27038707252904715	0.009706674139311448	None	None
0.1677	0.3843793060250391	0.009738709367493993	None	None
0.1673	0.4309626706749441	0.00977074459567654	None	None
0.1668	0.3593887009892569	0.009802779823859086	None	None
0.1664	0.2746148064634326	0.009834815052041632	None	None
0.1659	0.21879306025266487	0.009866850280224179	None	None
0.1655	0.18890141550764383	0.009898885508406724	None	None
0.165	0.1919078040837121	0.00993092073658927	None	None
0.1645	0.2451615933860012	0.009962955964771817	None	None
0.1641	0.3501659777025452	0.009994991192954363	None	None
0.1636	0.4415633220592099	0.010027026421136908	None	None
0.1632	0.4145371414251713	0.010059061649319455	None	None
0.1628	0.32750845546752316	0.010091096877502	None	None
0.1623	0.260412752098091	0.010123132105684546	None	None
0.1619	0.21129274708755474	0.010155167333867093	None	None
0.1614	0.1923149192029996	0.010187202562049639	None	None
0.161	0.22339659275939994	0.010219237790232184	None	None
0.1605	0.31036264562180804	0.01025127301841473	None	None
0.1601	0.4149285982712172	0.010283308246597277	None	None
0.1597	0.4433483652760515	0.010315343474779822	None	None
0.1592	0.3738099711886207	0.010347378702962368	None	None
0.1588	0.29980896905908594	0.010379413931144915	None	None
0.1584	0.23690968307619187	0.01041144915932746	None	None
0.1579	0.19950206689190964	0.010443484387510006	None	None
0.1575	0.21209131905288814	0.010475519615692553	None	None
0.1571	0.27632155831133787	0.010507554843875099	None	None
0.1566	0.37536014029819853	0.010539590072057644	None	None
0.1562	0.4502223474883067	0.010571625300240192	None	None
0.1558	0.42297695102070065	0.010603660528422737	None	None
0.1554	0.34867844168866213	0.010635695756605282	None	None
0.1549	0.279296630339104	0.01066773098478783	None	None
0.1545	0.22286421144917767	0.010699766212970375	None	None
0.1541	0.21096392333674885	0.01073180144115292	None	None
0.1537	0.2557465864961159	0.010763836669335468	None	None
0.1533	0.3394244018536483	0.010795871897518013	None	None
0.1528	0.432700739070242	0.010827907125700559	None	None
0.1524	0.4604315420265266	0.010859942353883106	None	None
0.152	0.40082049354850824	0.010891977582065651	None	None
0.1516	0.3210885631965539	0.010924012810248197	None	None
0.1512	0.2509394964299645	0.010956048038430744	None	None
0.1508	0.21882437680051225	0.01098808326661329	None	None
0.1504	0.24273456094169887	0.011020118494795835	None	None
0.15	0.30583740448446406	0.011052153722978382	None	None
0.1496	0.3920675184767788	0.011084188951160928	None	None
0.1492	0.46592759614168244	0.011116224179343473	None	None
0.1488	0.4422679443814559	0.011148259407526019	None	None
0.1484	0.363287611173746	0.011180294635708566	None	None
0.148	0.28000125266180476	0.011212329863891111	None	None
0.1476	0.22707628710986683	0.011244365092073657	None	None
0.1472	0.2317737692596893	0.011276400320256204	None	None
0.1468	0.2725635725914799	0.01130843554843875	None	None
0.1464	0.3416165601902321	0.011340470776621295	None	None
0.146	0.43825942628063785	0.011372506004803842	None	None
0.1456	0.4730990855564414	0.011404541232986388	None	None
0.1452	0.40509520230489215	0.011436576461168933	None	None
0.1448	0.31225729675543334	0.01146861168935148	None	None
0.1444	0.2469309783286917	0.011500646917534026	None	None
0.144	0.23415382688199315	0.011532682145716571	None	None
0.1436	0.25490103970923883	0.011564717373899119	None	None
0.1432	0.30389577852929506	0.011596752602081664	None	None
0.1428	0.3977358136039584	0.01162878783026421	None	None
0.1425	0.48227483402206417	0.011660823058446757	None	None
0.1421	0.44865652010503254	0.011692858286629302	None	None
0.1417	0.3528905173493513	0.011724893514811848	None	None
0.1413	0.2777934360515246	0.011756928742994395	None	None
0.1409	0.2462263560064457	0.01178896397117694	None	None
0.1406	0.2470562445196265	0.011820999199359486	None	None
0.1402	0.27163973443566647	0.011853034427542033	None	None
0.1398	0.3494770136539955	0.011885069655724579	None	None
0.1394	0.4607760240510288	0.011917104883907124	None	None
0.1391	0.48315169735678865	0.01194914011208967	None	None
0.1387	0.3942753350870589	0.011981175340272217	None	None
0.1383	0.3108323938367903	0.012013210568454762	None	None
0.1379	0.2614931729926866	0.012045245796637308	None	None
0.1376	0.24317299260928849	0.012077281024819855	None	None
0.1372	0.24808969059222363	0.0121093162530024	None	None
0.1368	0.30087373167953047	0.012141351481184946	None	None
0.1365	0.4111079794561192	0.012173386709367493	None	None
0.1361	0.48150757860457816	0.012205421937550039	None	None
0.1357	0.4214580984589702	0.012237457165732584	None	None
0.1354	0.3338030815480124	0.012269492393915131	None	None
0.135	0.2739101841411866	0.012301527622097677	None	None
0.1347	0.23744206438686888	0.012333562850280222	None	None
0.1343	0.2214236502568383	0.01236559807846277	None	None
0.1339	0.2528498058372861	0.012397633306645315	None	None
0.1336	0.35141863960916453	0.01242966853482786	None	None
0.1332	0.45283727921832906	0.012461703763010408	None	None
0.1329	0.44098396592744393	0.012493738991192953	None	None
0.1325	0.3578385318801338	0.012525774219375499	None	None
0.1322	0.29578479268411684	0.012557809447558046	None	None
0.1318	0.24552173368374497	0.012589844675740591	None	None
0.1315	0.20517036201908923	0.012621879903923137	None	None
0.1311	0.2155987723913313	0.012653915132105684	None	None
0.1308	0.2975385193535658	0.01268595036028823	None	None
0.1304	0.4036859576599454	0.012717985588470775	None	None
0.1301	0.4456971063509627	0.01275002081665332	None	None
